artist,song
BTS,Butter
Olivia Rodrigo,Good 4 U
Dua Lipa Featuring DaBaby,Levitating
Justin Bieber Featuring Daniel Caesar & Giveon,Peaches
Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open
The Weeknd & Ariana Grande,Save Your Tears
Doja Cat Featuring SZA,Kiss Me More
Masked Wolf,Astronaut In The Ocean
Olivia Rodrigo,Deja Vu
Bad Bunny,Yonaguni
Lil Nas X,Montero (Call Me By Your Name)
The Kid LAROI,Without You
Luke Combs,Forever After All
Polo G,Rapstar
The Weeknd,Blinding Lights
"Lil Baby, Lil Durk & Travis Scott",Hats Off
Olivia Rodrigo,Drivers License
Maroon 5 Featuring Megan Thee Stallion,Beautiful Mistakes
Olivia Rodrigo,Traitor
Roddy Ricch,Late At Night
Lil Baby & Lil Durk,Voice Of The Heroes
Saweetie Featuring Doja Cat,Best Friend
Giveon,Heartbreak Anniversary
Glass Animals,Heat Waves
Lil Tjay Featuring 6LACK,Calling My Phone
Olivia Rodrigo,Favorite Crime
Billie Eilish,Lost Cause
Olivia Rodrigo,Happier
Cardi B,Up
24kGoldn Featuring iann dior,Mood
Lil Baby & Lil Durk,2040
DJ Khaled Featuring Lil Baby & Lil Durk,Every Chance I Get
Kali Uchis,Telepatia
Lil Baby & Lil Durk,How It Feels
Olivia Rodrigo,Brutal
Moneybagg Yo,Wockesha
Drake Featuring Lil Baby,Wants And Needs
Chris Young + Kane Brown,Famous Friends
Ariana Grande,pov
Dierks Bentley,Gone
SpotemGottem Featuring Pooh Shiesty Or DaBaby,Beat Box
Machine Gun Kelly X blackbear,My Ex's Best Friend
"Lil Baby, Lil Durk & Meek Mill",Still Runnin
Mooski,Track Star
Pop Smoke,What You Know Bout Love
Lil Baby & Lil Durk,Who I Want
"J. Cole, 21 Savage & Morray",my.life
Pooh Shiesty Featuring Lil Durk,Back In Blood
Moneybagg Yo,Time Today
Nelly & Florida Georgia Line,Lil Bit
Jason Aldean,Blame It On You
Dylan Scott,Nobody
Rauw Alejandro,Todo de Ti
Olivia Rodrigo,Enough For You
Miranda Lambert,Settling Down
Lil Baby & Lil Durk,Still Hood
Olivia Rodrigo,"Jealousy, Jealousy"
Lil Baby & Lil Durk,Okay
Jordan Davis,Almost Maybes
Lil Baby & Lil Durk,Man Of My Word
Bella Poarch,Build A Bitch
Sam Hunt,Breaking Up Was Easy In The 90's
Dan + Shay,Glad You Exist
J. Cole & Lil Baby,pride.is.the.devil
Olivia Rodrigo,"1 Step Forward, 3 Steps Back"
Young Thug & Gunna,Ski
Lil Baby & Lil Durk,Medical
"Lil Baby, Lil Durk & Rod Wave",Rich Off Pain
Marshmello X Jonas Brothers,Leave Before You Love Me
Lil Baby & Lil Durk,Lying
Tom MacDonald,Snowflakes
Cole Swindell,Single Saturday Night
Lil Baby & Lil Durk,That's Facts
Jake Owen,Made For You
Billie Eilish,Your Power
Coi Leray Featuring Lil Durk,No More Parties
Dua Lipa,We're Good
Keith Urban Duet With P!nk,One Too Many
Lil Baby & Lil Durk,Please
"Lil Baby, Lil Durk & Young Thug",Up The Side
Blake Shelton,Minimum Wage
Trippie Redd & Playboi Carti,Miss The Rage
AJR,Way Less Sad
Olivia Rodrigo,Hope Ur OK
Morray,Quicksand
Duncan Laurence,Arcade
Migos,Straightenin
Polo G & Lil Wayne,Gang Gang
Chase Rice Featuring Florida Georgia Line,Drinkin' Beer. Talkin' God. Amen.
Imagine Dragons,Follow You
Ryan Hurd With Maren Morris,Chasing After You
Cochise & $NOT,Tell Em
42 Dugg & Roddy Ricch,4 Da Gang
Rod Wave,Tombstone
Drake,What's Next
Lainey Wilson,Things A Man Oughta Know
Thomas Rhett,Country Again
Elle King & Miranda Lambert,Drunk (And I Don't Wanna Go Home)
Lil Baby & Lil Durk,If You Want To
"Nicki Minaj, Drake & Lil Wayne",Seeing Green
